2D_X,2D_Y,3D_X,3D_Y,3D_Z
448,577,-14.031050703785322,-98.55303770964781,-90.5445062296268
460,536,-18.080318934741296,-108.68913924457627,-74.1913274582495
567,444,-59.152118420190476,-91.99707231841683,-41.23964998175066
446,563,-12.922227781898187,-109.88648136581708,-83.91611104382076
449,564,-13.9837588637193,-110.85424401706348,-84.15991326164986
410,514,0.4016115601575727,-136.9949107502468,-63.59160046476434
436,505,-8.626308221669483,-135.689248443613,-60.587531149746766
412,511,-0.2780386393174976,-138.4640227967173,-62.42418746125229
454,439,-15.63616684415469,-115.3323013758959,-38.46675378343683
480,449,-25.31918680530685,-110.03445862909746,-42.315524360207775
444,486,-11.30756695190182,-138.74714743243237,-53.78055991695679
519,255,-39.948480078107536,-105.16506476295297,28.88657304856256
509,281,-35.912686053341226,-109.82939677609272,18.97826733302772
498,307,-31.53224803792305,-115.1966447787895,9.201022763108007
454,586,-16.325297261714546,-97.01963634418416,-94.1146414130043
428,316,-6.144631310598793,-120.6555990088674,5.690006770247393
432,279,-7.6031816247109525,-119.34919070827038,19.008164861594288
438,238,-9.818974675136065,-116.84914111116268,33.95225535388817
500,395,-33.08578359507652,-103.26887993043624,-22.6682076788351
538,408,-47.587078810789365,-98.47100163875973,-27.549900218333967
435,390,-8.824304544698226,-113.34982435490645,-20.78221552151303
521,364,-40.771390564244676,-104.13791035336953,-11.227029820395703
426,421,-5.247649573089037,-130.71548506540074,-31.576314708035625
429,487,-6.073952110121468,-141.83548835436994,-53.9047068168223
555,416,-54.10604899518746,-96.79414107215655,-30.569224164289352
527,422,-42.94455853163048,-104.59012817693167,-32.60938951358967
507,430,-35.40664222828373,-106.82864046402324,-35.48681089188219
476,429,-23.952922710300644,-108.28304049740518,-35.07471843560512
454,423,-15.762774160780904,-111.96789121366658,-32.779995867364086
438,416,-9.687875505448643,-121.79976845402052,-30.02031002543117
403,402,2.80214020831689,-126.83231129446835,-24.96713861024158
554,452,-53.41082250453499,-99.78749268586023,-43.89180126908159
534,359,-45.95133674183255,-100.01825652688251,-9.309496436002036
396,510,5.28365323768757,-123.18619897708624,-63.41541222536739
437,450,-9.072620439583183,-131.8328737979366,-41.68528204419337
571,370,-61.653629236436885,-83.67080519559715,-13.233406306804447
426,409,-5.298070471231126,-127.93269066269505,-27.41970076156158
446,485,-11.96025857678027,-139.8951846553491,-53.35540907877845
513,377,-37.57854416658194,-107.21009180137958,-16.038333483849332
430,474,-6.443069947473827,-140.5668147341961,-49.53010539806918
561,485,-57.19755925889278,-89.23946646022705,-56.9031397878354
436,384,-9.211292713413034,-112.37154665657226,-18.607201305113772
416,467,-1.6389534416502105,-140.15562371918634,-47.14939508623044
516,580,-40.72733706842131,-81.8677130534885,-93.93597691553921
514,593,-40.183188924533056,-79.0402954769412,-99.34379873587083
568,450,-59.73239499583191,-90.26356640289873,-43.582731416599955
537,555,-49.029147013675306,-79.46145190315451,-84.61226500538112
558,345,-55.48317650546056,-94.47657694596785,-3.95264833275362
452,639,-15.756754486347589,-92.07701891110162,-114.80400180322547
394,512,5.9905197574306595,-124.21821043446022,-64.03489776632016
451,461,-14.468035368186294,-117.72221970129272,-46.28275297294748
552,383,-53.63028897020796,-90.69372426145549,-18.221413845636913
484,389,-27.018671608360243,-105.92665958767407,-20.443048610021478
470,390,-21.96101945992932,-104.10202686075922,-20.81766069521158
457,567,-17.171444324630258,-103.95106217009015,-86.13041425601403
552,486,-52.9870410763093,-96.76638021222038,-56.74998601954012
426,659,-6.005330272785439,-88.89810997201323,-122.9575056784123
469,633,-22.449821004799514,-86.26485494806275,-113.5468965366463
489,617,-30.512803342180167,-79.2258525501004,-108.58625593063319
457,389,-17.136685052287895,-104.82612595824526,-20.446499824423604
445,386,-12.674969379909868,-106.13639551733593,-19.33997359884712
439,385,-10.275462646614312,-113.29920030129244,-18.97000537191804
546,352,-50.479734558676874,-99.3541824889403,-6.692304012220136
449,375,-14.20843318172293,-104.27461747739551,-15.285451279817833
463,371,-19.268293839639544,-106.61880363236412,-13.832425564076726
477,371,-24.31256811892088,-108.40102652075973,-13.849192430083777
490,372,-28.983593639081207,-109.76584376694734,-14.226975562358053
499,375,-32.28060025185498,-109.58439569619065,-15.320603769971722
568,333,-61.021827414553464,-79.24986761306309,1.1010001994384417
494,387,-30.564754994572223,-107.91276244575852,-19.704351256094352
445,529,-12.486241810531965,-112.15459701684631,-71.28250591903037
428,498,-5.716888089057587,-142.5770348268457,-57.614593904045236
413,529,-0.8084621888422938,-117.9903173243564,-70.69485634670862
493,603,-31.85473954966498,-82.35759531500969,-102.70223217722759
473,620,-23.910128598448615,-87.54206400275689,-108.38012214208257
426,652,-5.944227841173538,-92.27043198424974,-119.67245790093482
533,565,-47.5593286030467,-78.65842857604673,-88.57389017082204
440,381,-10.739181590083096,-109.6673501947962,-17.511223691370894
414,431,-1.006943530762455,-134.4648757215756,-34.958254822083774
449,648,-14.706577389794676,-89.68637757025238,-118.63841906426839
564,487,-58.283600751416756,-89.69184221613511,-57.62932165947135
426,570,-5.54086424593671,-114.53258907468967,-85.86951912835774
428,574,-6.371491046957363,-109.02925193935869,-88.04276510468407
431,581,-7.5651524116896915,-104.52565835786856,-91.21766590763752
433,589,-8.28269543692208,-105.37998099885704,-94.04467457051999
437,599,-9.805145837519385,-103.4232910918438,-98.01715637071294
450,561,-14.322734623297645,-111.57772641075712,-82.97837179620466
454,559,-15.889614765765664,-108.59728174364739,-82.61344787567506
459,556,-17.749900382915307,-107.83119702220688,-81.60773354512122
473,545,-23.12794171333073,-102.91764592010395,-78.12810312437911
531,499,-44.75612003011398,-100.89467100438549,-61.28260805228335
415,411,-1.4022637835583183,-129.9122511442747,-28.087709932364948
424,372,-4.740224552625396,-119.16020298386331,-14.308809468911328
433,374,-8.065809199004168,-114.81107226032054,-14.993778851815692
446,560,-12.838331651365433,-112.5036276059493,-82.50145182231057
532,536,-46.53923350823814,-85.54493073889682,-76.63482031846061
409,373,0.6440723399830173,-120.49158911960433,-14.677875749500538
444,611,-12.509006911233476,-99.5645441110446,-103.05858871298327
402,424,3.162298349306848,-131.93236348410676,-32.593849620503676
426,457,-5.117244956244278,-137.91268406847917,-43.82506428957937
420,623,-3.5639475073679123,-100.69864353048627,-107.33472196663374
480,578,-26.563243902896055,-87.71959598282365,-92.37810627803617
460,497,-18.136485556171888,-107.34584565571367,-60.03459408016798
463,596,-19.795492055500176,-94.61062128749415,-98.20796178038438
497,491,-31.686877839455423,-107.5663083241842,-57.8184543615159
475,512,-23.799908807706736,-104.20843160952279,-65.81280288933986
510,515,-37.005946955139684,-100.3277581358168,-67.27216876979328
424,639,-5.103739238373864,-97.42545490814575,-113.8554289358061
436,465,-8.577256906128259,-137.64445232370787,-46.60273784727616
490,588,-30.42014016839353,-86.86132985484448,-96.30288756239636
470,607,-22.614782744175894,-90.70012669817197,-102.9448532492394
493,557,-31.21253953224311,-92.2666278903148,-83.84506162588637
547,513,-52.00110931081097,-88.13624315860113,-67.62086229117038
512,557,-38.80124924907613,-86.8459047376075,-84.49669367393716
554,522,-55.49863556548204,-80.33322976671752,-71.78869847458557
488,531,-28.828277307621963,-100.39660850673863,-73.2094650370474
425,440,-4.8168484551644095,-135.3336482846073,-38.05423227526238
423,495,-4.01710483364277,-141.9153445009852,-56.63931394001586
434,496,-7.810414706601683,-140.8440979463851,-57.06509061054844
416,486,-1.6152208438794684,-142.2841018273005,-53.53038048005713
437,355,-9.4839531817893,-115.88012786946524,-8.148638650546463
462,343,-18.70538825411662,-111.14983288997564,-3.683649685359322
484,341,-26.869692337709452,-108.47167519152083,-2.874506254461913
502,344,-33.58637673652383,-106.62205194779608,-3.9198384639760704
515,351,-38.46240550317377,-105.33323445387873,-6.459688443937955
524,380,-42.06926495002328,-101.92435951883658,-17.12193029900478
570,414,-61.01461251590937,-85.83076566658485,-30.04664215110239
512,406,-37.600453500161784,-102.2308165344225,-26.747938924855195
495,412,-31.133740633513234,-104.85020993486728,-28.91890539382674
473,413,-22.97446628484542,-105.93453877253296,-29.265738289084247
454,409,-15.947182450844384,-107.06750202904618,-27.77594225931415
439,404,-10.267585353613203,-113.58903894201103,-25.853202619429393
430,400,-6.8087703900556615,-123.07446616657444,-24.301629477171264
569,406,-60.89548883773216,-83.60189278745077,-27.02705338282118
